name,MEe,Ered,a_n,a_n_std,mobN,mobN_std,eesd,bulk
Bolsig,0.4779,0.8424187667569616,,,5.273e+24,,One Takes All,False
Bolsig,0.5439,0.969878575985181,,,4.913999999999997e+24,,One Takes All,False
Bolsig,0.5488,0.9793851176909392,,,4.89e+24,,One Takes All,False
Bolsig,0.6311,1.1386204184969484,,,4.5349999999999994e+24,,One Takes All,False
Bolsig,0.6349,1.1460488677681648,,,4.520999999999999e+24,,One Takes All,False
Bolsig,0.7268,1.3237453112160558,,,4.207e+24,,One Takes All,False
Bolsig,0.7425,1.3542190123939437,,,4.159e+24,,One Takes All,False
Bolsig,0.8383,1.5389691072637206,,,3.9029999999999993e+24,,One Takes All,False
Bolsig,0.8702,1.6002015141820354,,,3.8289999999999987e+24,,One Takes All,False
Bolsig,0.9688,1.7891854974249872,,,3.624e+24,,One Takes All,False
Bolsig,1.022,1.8908646700092149,,,3.528e+24,,One Takes All,False
Bolsig,1.122,2.080083823051906,,,3.367999999999999e+24,,One Takes All,False
Bolsig,1.204,2.2343243451539005,,,3.253999999999999e+24,,One Takes All,False
Bolsig,1.303,2.4182784385125697,,,3.133999999999999e+24,,One Takes All,False
Bolsig,1.424,2.640170583610871,,,3.006999999999999e+24,,One Takes All,False
Bolsig,1.519,2.811459106294324,,,2.9209999999999987e+24,,One Takes All,False
Bolsig,1.693,3.11973538026506,,,2.7859999999999993e+24,,One Takes All,False
Bolsig,1.779,3.268565844397571,,,2.729e+24,,One Takes All,False
Bolsig,2.026,3.6864090916301344,,,2.591e+24,,One Takes All,False
Bolsig,2.096,3.799992201645056,,,2.558e+24,,One Takes All,False
Bolsig,2.449,4.356014319938478,,,2.421999999999999e+24,,One Takes All,False
Bolsig,2.49,4.417821582916486,,,2.4089999999999992e+24,,One Takes All,False
Bolsig,2.994,5.13610199779714,8.77e-30,,2.285e+24,,One Takes All,False
Bolsig,3.003,5.1472477101336525,9.373e-30,,2.2839999999999998e+24,,One Takes All,False
Bolsig,3.638,5.97116547978856,3.977e-28,,2.193e+24,,One Takes All,False
Bolsig,3.725,6.082201995573401,5.878e-28,,2.183999999999999e+24,,One Takes All,False
